Date,LLOY_Open,LLOY_High,LLOY_Low,LLOY_Close,LLOY_Change,LLOY_Percent,LSE_Price,LSE_Open,LSE_High,LSE_Low,LSE_Change,LSE_Percent,2 MYYC,10 MYYC,2s10s
10-Mar-20,42.290001,45,41.59,42.535,-0.0058,-0.5760,7036.00,7332.00,7490.00,7036.00,-0.0290,-2.9000,0.17,0.33,0.1626
11-Mar-20,42.639999,44.210999,41.625,42.119999,0.0123,1.2346,7036.00,7320.00,7320.00,6994.60,0.0000,0.0000,0.09,0.20,0.1101
12-Mar-20,39.860001,41.165001,36.610001,36.994999,0.0774,7.7443,6356.00,6706.00,6746.00,6138.00,-0.0966,-9.6600,0.11,0.16,0.0497
13-Mar-20,38.544998,40.133999,37.080002,37.889999,0.0173,1.7287,6794.00,6582.00,7068.00,6480.00,0.0689,6.8900,0.16,0.22,0.0631
16-Mar-20,35.5,35.962002,32.200001,35.110001,0.0111,1.1108,6312.00,6250.00,6368.00,5734.00,-0.0709,-7.0900,0.15,0.29,0.1336
17-Mar-20,36,36.554001,31.6,35.32,0.0193,1.9253,6174.00,6504.00,6550.00,5926.00,-0.0219,-2.1900,0.22,0.28,0.0639
18-Mar-20,33.625,34.435001,32.150002,33.634998,-0.0003,-0.0297,5806.00,5996.00,6016.00,5300.00,-0.0596,-5.9600,0.28,0.40,0.1211
19-Mar-20,33.279999,34.217999,30.700001,32.375,0.0280,2.7954,5928.00,5818.00,6178.00,5736.00,0.0210,2.1000,0.31,0.48,0.1710
20-Mar-20,33.75,34.544998,31.4,32.099998,0.0514,5.1402,6220.00,6218.00,6518.00,6076.00,0.0493,4.9300,0.31,0.55,0.2412
23-Mar-20,29.950001,31.990999,29.816999,30.57,-0.0203,-2.0281,6252.00,6008.00,6382.00,5818.00,0.0051,0.5100,0.33,0.81,0.4768
24-Mar-20,31.370001,33.645,30.75,33.645,-0.0676,-6.7618,6902.00,6400.00,7100.00,6290.00,0.1040,10.4000,0.23,0.83,0.5987
25-Mar-20,35.240002,38.492001,33,36.73,-0.0406,-4.0566,7368.00,7108.00,7768.00,6938.00,0.0675,6.7500,0.10,0.53,0.4239
26-Mar-20,35.139999,37.939999,34.400002,37.560001,-0.0644,-6.4430,7326.00,7166.00,7504.00,7060.00,-0.0057,-0.5700,0.05,0.39,0.3397
27-Mar-20,35.5,36.977001,33.52,34.395,0.0321,3.2127,6948.00,7154.00,7252.00,6794.00,-0.0516,-5.1600,0.11,0.44,0.3361
30-Mar-20,34.134998,36.977001,32.389999,33.5,0.0190,1.8955,7322.00,6892.00,7334.00,6716.00,0.0538,5.3800,0.10,0.43,0.3318
31-Mar-20,32.009998,36.977001,31.715,32,0.0003,0.0312,7280.00,7290.00,7406.00,7076.00,-0.0057,-0.5700,0.11,0.37,0.2545
1-Apr-20,30,31,28.209999,28.27,0.0612,6.1196,7070.00,7044.00,7186.00,6864.00,-0.0288,-2.8800,0.12,0.34,0.2225
2-Apr-20,27.945,29.799999,27.829,28.905001,-0.0332,-3.3212,6736.00,7118.00,7142.00,6496.00,-0.0472,-4.7200,0.11,0.31,0.1974
3-Apr-20,28.485001,28.858999,27.700001,27.725,0.0274,2.7412,7200.00,6802.00,7222.00,6702.00,0.0689,6.8900,0.14,0.36,0.2220
